timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
10830501,-0.00197175,-0.000798798,0.00143915,4000,0,0.410001,0.0240563,-9.7545,4000
10834501,0.00071477,-0.000599685,-0.00096973,4000,0,0.430016,-0.0110013,-9.75391,4000
10838501,0.00158294,8.03075e-06,-0.00193227,4000,0,0.409453,0.0247911,-9.76517,4000
10842502,-0.000369225,-0.0027184,0.00136144,4001,0,0.414875,0.0497115,-9.76472,4001
10846501,0.000983577,-0.000575656,0.00254566,3999,0,0.434884,0.00308546,-9.72871,3999
10850501,0.00152505,0.00333683,0.00165925,4000,0,0.430729,0.020513,-9.71814,4000
10854501,0.000279117,0.00163218,0.000486026,4000,0,0.422185,0.0641581,-9.74556,4000
10858501,-0.000165835,-0.000687052,0.001144,4000,0,0.432652,0.0144265,-9.73741,4000
10862501,0.00172852,0.000798548,0.00231897,4000,0,0.443223,0.0139657,-9.75261,4000
10866501,0.0016428,-0.001651,0.00160514,4000,0,0.412324,0.0538086,-9.74953,4000
10870501,0.00115415,-0.000705592,-0.000643545,4000,0,0.413152,0.0109051,-9.7313,4000
10874501,-0.000357237,0.0014134,-0.000480226,4000,0,0.44725,0.0140883,-9.73303,4000
10878503,-0.00133921,-0.00016786,0.00154117,4002,0,0.412072,0.0588171,-9.74154,4002
